,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
10,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
11,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
12,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Building a secure agentic AI application leveraging A2A protocol,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
13,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Building a secure agentic AI application leveraging A2A protocol,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
14,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Building a secure agentic AI application leveraging A2A protocol,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
15,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Building a secure agentic AI application leveraging A2A protocol,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
16,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Coalesce: Economic and security dynamics of skill-based task outsourcing among team of autonomous llm agents,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
17,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Coalesce: Economic and security dynamics of skill-based task outsourcing among team of autonomous llm agents,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
18,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Coalesce: Economic and security dynamics of skill-based task outsourcing among team of autonomous llm agents,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
19,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Coalesce: Economic and security dynamics of skill-based task outsourcing among team of autonomous llm agents,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
20,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
21,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
22,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
23,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
24,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
25,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
26,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
27,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
28,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),LLM and GenAI data security best practices,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
29,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),LLM and GenAI data security best practices,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
30,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),LLM and GenAI data security best practices,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
31,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),LLM and GenAI data security best practices,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
32,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Multi-agentic system threat modelling guide OWASP GenAI security project,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
33,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Multi-agentic system threat modelling guide OWASP GenAI security project,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
34,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Multi-agentic system threat modelling guide OWASP GenAI security project,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
35,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Multi-agentic system threat modelling guide OWASP GenAI security project,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
36,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
37,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
38,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
39,AKRAM SHERIFF,Agent Capability Negotiation and Binding Protocol (ACNBP),Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
40,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Building a secure agentic AI application leveraging A2A protocol,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
41,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Building a secure agentic AI application leveraging A2A protocol,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
42,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Building a secure agentic AI application leveraging A2A protocol,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
43,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Building a secure agentic AI application leveraging A2A protocol,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
44,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
45,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
46,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
47,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
48,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Multi-agentic system threat modelling guide OWASP GenAI security project,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
49,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Multi-agentic system threat modelling guide OWASP GenAI security project,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
50,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Multi-agentic system threat modelling guide OWASP GenAI security project,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
51,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Multi-agentic system threat modelling guide OWASP GenAI security project,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
52,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,AI_ML,-34.5791717,-58.4555188,,Buenos Aires,Autonomous City of Buenos Aires,Argentina
53,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,CISCO  SYSTEMS,37.4102905,-121.9272284,Santa Clara County,San Jose,California,United States
54,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,GENAI,-5.9407235,145.0212283,Gembogl District,,Simbu,Papua New Guinea
55,AKRAM SHERIFF,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Security,34.060294,-117.5872399,San Bernardino County,Ontario,California,United States
56,Alexios Birbas,Intent-based infrastructure and service orchestration using agentic-AI,Building a secure agentic AI application leveraging A2A protocol,University Of Patras,38.2869279,21.7851062,Achaia Regional Unit,Municipal Unit of Rio,Western Greece,Greece
57,Aliyu Nuhu Shuaibu," A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance, and Quantum-Resilient Defense",Building a secure agentic AI application leveraging A2A protocol,Kampala International University (KIU) Uganda,-0.5377116,30.1444543,,,Bushenyi,Uganda
58,Aliyu Nuhu Shuaibu," A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance, and Quantum-Resilient Defense",Building a secure agentic AI application leveraging A2A protocol,University of Jos - Nigeria,9.9692677,8.8840091,Jos North,Jos,Plateau State,Nigeria
59,Aliyu Nuhu Shuaibu," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Kampala International University (KIU) Uganda,-0.5377116,30.1444543,,,Bushenyi,Uganda
60,Aliyu Nuhu Shuaibu," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,University of Jos - Nigeria,9.9692677,8.8840091,Jos North,Jos,Plateau State,Nigeria
61,Aliyu Nuhu Shuaibu," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Kampala International University (KIU) Uganda,-0.5377116,30.1444543,,,Bushenyi,Uganda
62,Aliyu Nuhu Shuaibu," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,University of Jos - Nigeria,9.9692677,8.8840091,Jos North,Jos,Plateau State,Nigeria
63,Aliyu Nuhu Shuaibu," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Kampala International University (KIU) Uganda,-0.5377116,30.1444543,,,Bushenyi,Uganda
64,Aliyu Nuhu Shuaibu," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,University of Jos - Nigeria,9.9692677,8.8840091,Jos North,Jos,Plateau State,Nigeria
65,Amit Dvir,Improving Google A2A Protocol: Protecting Sensitive Data and Mitigating Unintended Harms in Multi-Agent Systems,Building a secure agentic AI application leveraging A2A protocol,"Associate Professor, Department of Computer and Software Eng. Ariel Cyber Innovation Center",,,,,,
66,Amit Dvir,Improving Google A2A Protocol: Protecting Sensitive Data and Mitigating Unintended Harms in Multi-Agent Systems,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,"Associate Professor, Department of Computer and Software Eng. Ariel Cyber Innovation Center",,,,,,
67,Amit Dvir,Improving Google A2A Protocol: Protecting Sensitive Data and Mitigating Unintended Harms in Multi-Agent Systems,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,"Associate Professor, Department of Computer and Software Eng. Ariel Cyber Innovation Center",,,,,,
68,Amit Dvir,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,A2AS: Agentic AI Runtime Security and Self-Defense,"Associate Professor, Department of Computer and Software Eng. Ariel Cyber Innovation Center",,,,,,
69,Amit Dvir,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,"Associate Professor, Department of Computer and Software Eng. Ariel Cyber Innovation Center",,,,,,
70,Amit Dvir,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,"Associate Professor, Department of Computer and Software Eng. Ariel Cyber Innovation Center",,,,,,
71,Anand Todkar,Agent Shadowing: Edge-Driven Seamless Integration for Edge and Cloud AI Agents,Building a secure agentic AI application leveraging A2A protocol,Siemens,45.7918775,24.0933759,Sibiu,Sibiu,,Romania
72,Ananth Shreekumar,"Formalizing the Safety, Security, and Functional Properties of Agentic AI Systems",Building a secure agentic AI application leveraging A2A protocol,"PhD Student, Purdue University",,,,,,
73,Ananth Shreekumar,"Formalizing the Safety, Security, and Functional Properties of Agentic AI Systems",Building a secure agentic AI application leveraging A2A protocol,Purdue University,40.430028,-86.9264211,Tippecanoe County,,Indiana,United States
74,Arghavan Moradi Dakhel,Securing the Model Context Protocol: Defending LLMs Against Tool Poisoning and Adversarial Attacks,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Postdoctoral Researcher @Mila - Quebec Artificial Intelligence Institute,,,,,,
75,Arghavan Moradi Dakhel,Securing the Model Context Protocol: Defending LLMs Against Tool Poisoning and Adversarial Attacks,Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,Postdoctoral Researcher @Mila - Quebec Artificial Intelligence Institute,,,,,,
76,Ariel Stulman,Improving Google A2A Protocol: Protecting Sensitive Data and Mitigating Unintended Harms in Multi-Agent Systems,Building a secure agentic AI application leveraging A2A protocol,Jerusalem College of Technology,31.765442,35.1910369,,Jerusalem,Jerusalem District,Israel
77,Ariel Stulman,Improving Google A2A Protocol: Protecting Sensitive Data and Mitigating Unintended Harms in Multi-Agent Systems,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Jerusalem College of Technology,31.765442,35.1910369,,Jerusalem,Jerusalem District,Israel
78,Ariel Stulman,Improving Google A2A Protocol: Protecting Sensitive Data and Mitigating Unintended Harms in Multi-Agent Systems,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Jerusalem College of Technology,31.765442,35.1910369,,Jerusalem,Jerusalem District,Israel
79,Ariel Stulman,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,A2AS: Agentic AI Runtime Security and Self-Defense,Jerusalem College of Technology,31.765442,35.1910369,,Jerusalem,Jerusalem District,Israel
80,Ariel Stulman,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Jerusalem College of Technology,31.765442,35.1910369,,Jerusalem,Jerusalem District,Israel
81,Ariel Stulman,Security Analysis of Agentic AI Communication Protocols: A Comparative Evaluation,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Jerusalem College of Technology,31.765442,35.1910369,,Jerusalem,Jerusalem District,Israel
82,Asif Shahriar,"A Survey on Agentic Security: Applications, Threats and Defenses",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,BRAC University,23.7733146,90.424371,Dhaka Metropolitan,Dhaka,Dhaka Division,Bangladesh
83,Asif Shahriar,"A Survey on Agentic Security: Applications, Threats and Defenses",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,"Lecturer, Department of CSE, BRAC University",,,,,,
84,"BIAN, Song",SoK: Trust-Authorization Mismatch in LLM Agent Interactions,Building a secure agentic AI application leveraging A2A protocol,Beihang University,39.9809427,116.3409787,,Haidian District,Beijing,China
85,Baolong Bi,A survey of context engineering for large language models,Agent Capability Negotiation and Binding Protocol (ACNBP),University of Chinese Academy of Sciences,40.0021965,116.3734052,,Chaoyang District,Beijing,China
86,Baolong Bi,A survey of context engineering for large language models,Building a secure agentic AI application leveraging A2A protocol,University of Chinese Academy of Sciences,40.0021965,116.3734052,,Chaoyang District,Beijing,China
87,"Bashir Olaniyi Sadiq, PhD"," A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance, and Quantum-Resilient Defense",Building a secure agentic AI application leveraging A2A protocol,Kampala International University,0.2946397,32.6049284,,Kampala,,Uganda
88,"Bashir Olaniyi Sadiq, PhD"," A Review of Agentic AI in Cybersecurity: Cognitive Autonomy, Ethical Governance, and Quantum-Resilient Defense",Building a secure agentic AI application leveraging A2A protocol,Zaria Nigeria,11.0248119,7.6518533,Zaria,Dutsen Abba,Kaduna State,Nigeria
89,"Bashir Olaniyi Sadiq, PhD"," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Kampala International University,0.2946397,32.6049284,,Kampala,,Uganda
90,"Bashir Olaniyi Sadiq, PhD"," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Zaria Nigeria,11.0248119,7.6518533,Zaria,Dutsen Abba,Kaduna State,Nigeria
91,"Bashir Olaniyi Sadiq, PhD"," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Kampala International University,0.2946397,32.6049284,,Kampala,,Uganda
92,"Bashir Olaniyi Sadiq, PhD"," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Zaria Nigeria,11.0248119,7.6518533,Zaria,Dutsen Abba,Kaduna State,Nigeria
93,"Bashir Olaniyi Sadiq, PhD"," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Kampala International University,0.2946397,32.6049284,,Kampala,,Uganda
94,"Bashir Olaniyi Sadiq, PhD"," Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment",Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Zaria Nigeria,11.0248119,7.6518533,Zaria,Dutsen Abba,Kaduna State,Nigeria
95,Beni Ifland,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,BGU,-12.9104657,14.0356608,,,Benguela Province,Angola
96,Beni Ifland,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Ben Gurion University of the Negev,31.2631254,34.8022385,,Be’er-Sheva,South District,Israel
97,Beni Ifland,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Data Science Researcher,,,,,,
98,Beni Ifland,ATAG: AI-Agent Application Threat Assessment with Attack Graphs,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,"Data Science Researcher, Ben Gurion University of the Negev and cyber@BGU",,,,,,
99,Bilgin Metin, Securing Agentic AI with the NIST Cybersecurity Framework 2.0,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Bogazici University,41.0832734,29.0505009,,,,Turkey
100,Bilgin Metin, Securing Agentic AI with the NIST Cybersecurity Framework 2.0,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,"Professor of Management Information Systems,  Bogazici University",,,,,,
101,Bin Wang,Mcpguard: Automatically detecting vulnerabilities in mcp servers,Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,Peking university,40.1750746,116.1593872,,Changping District,Beijing,China
102,Bin Wang,Reflection-Driven Control for Trustworthy Code Agents,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Peking university,40.1750746,116.1593872,,Changping District,Beijing,China
103,Binbin Zhao,Automatic Red Teaming LLM-based Agents with Model Context Protocol Tools,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
104,Bo Liu,Unique security and privacy threats of large language models: A comprehensive survey,A novel zero-trust identity framework for agentic ai: Decentralized authentication and fine-grained access control,University of Technology Sydney,-33.8832536,151.2003294,,Sydney,New South Wales,Australia
105,Bonan Ruan,"When mcp servers attack: Taxonomy, feasibility, and mitigation",Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,National University of Singapore,1.2959845,103.7766186,,Singapore,,Singapore
106,Callie C. Liao,Agentmaster: A multi-agent conversational framework using a2a and mcp protocols for multimodal information retrieval and analysis,Building a secure agentic AI application leveraging A2A protocol,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
107,Changjiang Li,Automatic Red Teaming LLM-based Agents with Model Context Protocol Tools,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Stony Brook,40.908482,-73.1325471,Suffolk County,,New York,United States
108,Changting Lin,Mcp-guard: A defense framework for model context protocol integrity in large language model applications,Etdi: Mitigating tool squatting and rug pull attacks in model context protocol (mcp) by using oauth-enhanced tool definitions and policy-based access control,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
109,Changting Lin,Mcp-guard: A defense framework for model context protocol integrity in large language model applications,Securing genai multi-agent systems against tool squatting: A zero trust registry-based approach,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
110,Charles L. Wang,MI9: An Integrated Runtime Governance Framework for Agentic AI,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Columbia University,40.8077508,-73.9624901,New York County,New York,New York,United States
111,Chenguang Du,AI agent communication from internet architecture perspective: Challenges and opportunities,Agent name service (ans): A universal directory for secure ai agent discovery and interoperability,Beihang University,39.9809427,116.3409787,,Haidian District,Beijing,China
112,Christoph Bühler,Securing AI Agent Execution,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,University of St. Gallen,47.4300025,9.3722184,Wahlkreis St. Gallen,,St. Gallen,Switzerland
113,Cunhua Pan,From large ai models to agentic ai: A tutorial on future intelligent communications,Building a secure agentic AI application leveraging A2A protocol,"Professor,  Southeast University",,,,,,
114,Cunhua Pan,From large ai models to agentic ai: A tutorial on future intelligent communications,Building a secure agentic AI application leveraging A2A protocol,Southeast University,31.8891845,118.815607,,Jiangning District,Jiangsu,China
115,Daniel K. Jones,Weathering the CUA Storm: Mapping Security Threats in the Rapid Rise of Computer Use Agents,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,Geographer,2.1968111,102.2463443,,Malacca City,Malacca,Malaysia
116,Daniel K. Jones,Weathering the CUA Storm: Mapping Security Threats in the Rapid Rise of Computer Use Agents,Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,U.S. Geological Survey,48.1010686,-122.6887086,Jefferson County,,Washington,United States
117,Daoyuan Wu,Mcpsecbench: A systematic security benchmark and playground for testing model context protocols,Enterprise-grade security for the model context protocol (mcp): Frameworks and mitigation strategies,Lingnan University,22.4123588,113.9812852,,Hong Kong,,China
118,Dawn Song,"Agents in the Wild: Safety, Security, and Beyond",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,"Professor of Computer Science, UC Berkeley",,,,,,
119,Dawn Song,"Agents in the Wild: Safety, Security, and Beyond",Securing agentic ai: A comprehensive threat model and mitigation framework for generative ai agents,UC Berkeley,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States
